Encaje,Nombre,Sexo,Edad,Edad (meses),Etapa,Nacimiento,Tamaño,Peso (kg),Raza,Tipo de raza,PPP,Provincia,Zona,Localidad,Protectora,Tipo de protectora,Estado,Urgente,Buena con niños,Esterilizada,Vacunada,Con chip,Duplicada,Origen,Alta,Última revisión,Ficha,Foto,Descripción,Id
100,Alma,Hembra,3 meses,3,Cachorra,,Mediano,15,Malinois,De raza,No,Alicante,Alicante,"Alicante, España",Ana P.,Particular,Disponible,No,Sí,,,,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/ihEzWZpXnZ,https://img.miwuki.com/kZ1uO6n4,"En adopción, una perrita de 4 meses, la cogimos de la calle maltratada, y necesita una buena educación y tiempo para ello. Es muy buena y cariñosa. Es desconfiada por lo que ha podido pasar, quien le interese que me hable.",miwuki:ihezwzpxnz
97,Nati,Hembra,2 meses,2,Cachorra,,Mediano,20,Mestizo,Mestiza,No,Alicante,Alicante,"Alicante, España",Leticia A.,Particular,Disponible,No,Sí,,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/j290HYVuED,https://img.miwuki.com/PP8jk3N3,"Hace 2 meses, un miembro de la familia desarrolló alergia al ácaro de la piel de Nati, teniendo que dejarla mucho tiempo en la terraza. Sigue siendo la misma cachorra que conocimos con solo 3 meses, a pesar de haber cumplido ya el año esperado a su nueva familia. Ha sido una decisión muy difícil de tomar. Apta con niños (les encanta) y con otros perros/as convive perfectamente, posiblemente también con gatos. Nati es suave, bellísima y un amor. Lo está pasando muy mal.",miwuki:j290hyvued
97,Petra,Hembra,7 meses,7,Cachorra,,Pequeño,5,Mestizo,Mestiza,No,Alicante,Alicante,"Alicante, España",Sophie J.,Particular,Disponible,No,Sí,,,,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/93eiPVI7rq,https://img.miwuki.com/hw5SR5F0,No sabemos mucho,miwuki:93eipvi7rq
95,Agustin Felix,Hembra,9 meses,9,Cachorra,,Pequeño,7,Mestizo,Mestiza,No,Alicante,Alicante,"Alicante, España",Agustin Felix R.,Particular,Disponible,No,Sí,,,,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/T3Zhi3BRj6,https://img.miwuki.com/JQ6UW5P0,No puedo tenerla,miwuki:t3zhi3brj6
95,Luna,Hembra,9 meses,9,Cachorra,,Pequeño,6,Mestizo,Mestiza,No,Alicante,Alicante,"Alicante, España",Agustin Felix R.,Particular,Disponible,No,Sí,,,,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/2ZBKyhXoAc,https://img.miwuki.com/Ph4Ib6A1,Encontrada en la calle y no puedo tenerla por motivos de salud,miwuki:2zbkyhxoac
95,Pinda,Hembra,8 meses,8,Cachorra,,Mediano,,Podenca,De raza,No,Alicante,Alicante,Alicante (Alicante),ASOKA el Grande,,Disponible,No,,Sí,Sí,,No,ASOKA el Grande,2026-08-03,2026-08-10,https://asokaelgrande.org/ficha-11747,https://asokaelgrande.org/imas/animales/_11747/a_117471786259134.jpg,"Asoka el Grande - Ficha de Pinda Foto 1 de 11 | Ficha de Pinda en adopción Nombre Pinda Clase perros Desde 10-6-2026 Sexo Hembra Edad 1 año y 8 meses fecha de nacimiento 12/2024 Raza Podenca Tamaño Mediano Localidad Alicante (Alicante) ID 11747 Descripción Pinda llega desde Asoka Orihuela, donde les avisaron de una perrita que andaba perdida. Intentaron cogerla pero fue misión imposible. Varios días después, la volvieron a localizar y de nuevo dieron aviso. Por fin, tras un buen rato, consiguieron cogerla. Estaba llena de heridas, muy delgada y desnutrida. Ahora llega a nosotros mucho más recuperada, con algo de miedo, pero dispuesta a dejarse querer. Es una perrita muy buena, apta con machos y hembras. Salud Desparasitada, vacunada, esterilizada. Apadrinado por LORENA Te has enamorado, ¿verdad? ¡Rellena el siguiente formulario! ⬇️ Clica aquí para más información configurar tu navegador para rechazar su uso clicando AQUÍ . Rechazar Aceptar",asoka:asokaelgrande-org-pinda
94,Cachorro Malinois,Hembra,5 meses,5,Cachorra,,Mediano,,Mestizo,Mestiza,No,Alicante,Alicante,"Alicante, España",Andreea P.,Particular,Disponible,No,,,,,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/wmAHBvlvGE,https://img.miwuki.com/dB5kU0q2,"Nació a finales de febrero, es mezcla entre pastor belga malinois y border collie, es muy lista y espabilada, perfecta si tienes campo y necesitas un perro.",miwuki:wmahbvlvge
94,Julieta,Hembra,10 meses,10,Cachorra,,Mediano,18.5,Husky,De raza,No,Alicante,Alicante,Alicante (Alicante),ASOKA el Grande,,Disponible,No,,Sí,Sí,,No,ASOKA el Grande,2026-08-03,2026-08-10,https://asokaelgrande.org/ficha-11698,https://asokaelgrande.org/imas/animales/_11698/a_116981778005913.jpg,"Asoka el Grande - Ficha de Julieta Foto 1 de 4 | Ficha de Julieta en adopción Nombre Julieta Clase perros Desde 29-4-2026 Sexo Hembra Edad 1 año y 10 meses fecha de nacimiento 9/2024 Raza Husky Tamaño Mediano Peso 18,5 KG Localidad Alicante (Alicante) ID 11698 Descripción Julieta es cedida por problemas de escapismo, así que ahora mismo está en acogida, intentando trabajar sus problemas para mejorar y poder encontrar una familia definitiva. Es una perra muy buena, juguetona, sociable con perros y probablemente también con gatos. Ha convivido con niños por lo que una familia con niños y otros animales le iría muy bien, aunque tendrían que trabajar con ella y tener paciencia y constancia. Salud Desparasitada, vacunada, esterilizada. Te has enamorado, ¿verdad? ¡Rellena el siguiente formulario! ⬇️ Clica aquí para más información configurar tu navegador para rechazar su uso clicando AQUÍ . Rechazar Aceptar",asoka:asokaelgrande-org-julieta
92,Bianca,Hembra,4 meses,4,Cachorra,,Mediano,19,Mestizo,Mestiza,No,Valencia,Provincia vecina,"Valencia, España",Marcela C.,Particular,Disponible,No,Sí,Sí,Sí,,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/MnUBPbf3c6,https://img.miwuki.com/XP6yy7a9,"Bianca es una perra muy noble, buena y hermosa, la tengo desde que ha nacido. Vive con 2 perros y 1 gato. Le gusta salir a pasear y no se escapa. Es un excelente perro de compañía para personas mayores porque es muy tierna y necesita cariño.",miwuki:mnubpbf3c6
92,Chloe,Hembra,3 meses,3,Cachorra,,Mediano,,Podenco Andaluz,De raza,No,Castellón,Provincia vecina,"Castellón, España",Huellas Callejeras,Protectora,Disponible,No,,,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/P9NszzprPe,https://img.miwuki.com/uH6lx7J3,"Chloe nació el 24 de abril de 2025 en Alcora, junto a su hermana Terra, hijas de Xispa. Ha crecido en la asociación, donde destaca por su espíritu explorador y su carácter curioso. Le encanta descubrir nuevos lugares, jugar en el agua y disfrutar de paseos al aire libre. Es cariñosa, sociable y se lleva muy bien con personas y otros perros. Aunque alegre y encantadora, Chloe aún busca una familia que le brinde el amor y la estabilidad que necesita. Independiente y especial, está lista para llenar un hogar de cariño y compañía. Si deseas darle una oportunidad, puedes ponerte en contacto para adoptar a esta maravillosa perrita. 🐾❤️",miwuki:p9nszzprpe
